Job Title,Company,Salary,Location,Link
Software Engineer,Primech A&P Pte. Ltd,Not Available,['East Region'],https://sg.jobstreet.com/job/80934804?type=standout&ref=search-standalone
Account Manager (ERP Business Software),Synergix Technologies Pte Ltd,Not Available,"['Jurong East', 'West Region']",https://sg.jobstreet.com/job/80926326?type=standout&ref=search-standalone
Full Stack Software Developer (Flutter),Flintex Consulting Pte Ltd,"$5,000 – $7,000 per month","['City Hall', 'Central Region']",https://sg.jobstreet.com/job/80921480?type=standout&ref=search-standalone
Software Engineer,8x8 Inc,Not Available,['Singapore'],https://sg.jobstreet.com/job/80905946?type=standard&ref=search-standalone
Senior Software Developer (Web development) - M.LEE,PeopleSearch Pte Ltd,Not Available,['Central Region'],https://sg.jobstreet.com/job/80925516?type=standard&ref=search-standalone
Software Engineer/.Net Developer(6 month),Linkedcorp HR Consultancy Pte Ltd,"$4,000 – $6,000 per month","['Toa Payoh', 'Central Region']",https://sg.jobstreet.com/job/80927269?type=standard&ref=search-standalone
"Senior Full Stack Developer / Software / Attractive Remuneration,SGD9,000!",Integrity Partners Pte. Ltd.,"$6,800 – $9,000 per month","['Singapore River', 'Central Region']",https://sg.jobstreet.com/job/80925000?type=standard&ref=search-standalone
Software Sales Executive - IT Solutions Specialist,SF Technologies Pte. Ltd.,"$2,800 – $4,000 per month","['Paya Lebar', 'East Region']",https://sg.jobstreet.com/job/80886111?type=standout&ref=search-standalone
Software Developer,Hyperscal Solutions,Not Available,['East Region'],https://sg.jobstreet.com/job/80919614?type=standard&ref=search-standalone
"Research Scientist – Quantum Software and Algorithms, SRTT - Q.InC","Agency for Science, Technology and Research (A*STAR)",Not Available,"['One North', 'Central Region']",https://sg.jobstreet.com/job/80939287?type=standout&ref=search-standalone
Software Architect,IBM SERVICES TALENT DELIVERY PTE. LTD.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80920445?type=standard&ref=search-standalone
Software Engineer,D-SIMLAB TECHNOLOGIES PTE LTD,"$4,800 – $7,000 per month","['Jurong East', 'West Region']",https://sg.jobstreet.com/job/80882141?type=standout&ref=search-standalone
"Software Engineer, AI Centre for Educational Technologies - School of Computing",National University of Singapore,Not Available,"['National University Of Singapore', 'Central Region']",https://sg.jobstreet.com/job/80912397?type=standout&ref=search-standalone
Software Engineer,Garuda Robotics,Not Available,"['Pasir Panjang', 'Central Region']",https://sg.jobstreet.com/job/80893552?type=standard&ref=search-standalone
Software Engineer,CPO PTE. LTD.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80897712?type=standard&ref=search-standalone
"Software Engineer (Frontend), Data & Artificial Intelligence Platform",Government Technology Agency of Singapore (GovTech),Not Available,['Central Region'],https://sg.jobstreet.com/job/80888202?type=standout&ref=search-standalone
"Snr Software Engineer, AI Centre for Educational Technologies",National University of Singapore,Not Available,"['National University Of Singapore', 'Central Region']",https://sg.jobstreet.com/job/80912450?type=standout&ref=search-standalone
Software QA Engineer (1-year Fixed Term Contract),Razer Inc.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80917972?type=standard&ref=search-standalone
Software Tester ( QA) | $ 6000 | Immediate Hiring!,APBA TG Human Resource Pte Ltd,"$4,000 – $6,000 per month",['Central Region'],https://sg.jobstreet.com/job/80903270?type=standard&ref=search-standalone
Senior Software Engineer.,Thermo Fisher Scientific,Not Available,['Central Region'],https://sg.jobstreet.com/job/80879590?type=standout&ref=search-standalone
Software Architect-Marketplace,StarHub Ltd,Not Available,['Singapore'],https://sg.jobstreet.com/job/80940411?type=standard&ref=search-standalone
"Software Engineer, Data and Artificial Intelligence Platforms (DAIP)",Government Technology Agency of Singapore (GovTech),Not Available,['Central Region'],https://sg.jobstreet.com/job/80888521?type=standout&ref=search-standalone
Senior Software Engineer,MEMOAI PTE. LTD.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80915362?type=standard&ref=search-standalone
"Software Engineer (Full-stack), Data and Artificial Intelligence Platforms (DAIP",Government Technology Agency of Singapore (GovTech),Not Available,['Central Region'],https://sg.jobstreet.com/job/80888810?type=standout&ref=search-standalone
Senior Software Engineer (Singpass) #GovTechForPublicGood.,Government Technology Agency of Singapore (GovTech),Not Available,"['Pasir Panjang', 'Central Region']",https://sg.jobstreet.com/job/80889782?type=standout&ref=search-standalone
Software Engineer,THEE BIRAPANJAA SYSTEMS (PTE. LTD.),Not Available,['Central Region'],https://sg.jobstreet.com/job/80874542?type=standard&ref=search-standalone
"Snr IT Executive / SQL Network ERP Systems Infrastructure, Hardware, Software",Search Index Pte Ltd,"$5,000 – $6,000 per month","['Southern Islands', 'Central Region']",https://sg.jobstreet.com/job/80368479?type=standout&ref=search-standalone
Software Development Engineer [LKCMedicine],Nanyang Technological University,Not Available,"['Pioneer', 'West Region']",https://sg.jobstreet.com/job/80882044?type=standout&ref=search-standalone
Software Engineer (Application),ESPRESSIF SYSTEMS SERVICES PTE. LTD.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80897869?type=standard&ref=search-standalone
Senior System Software Engineer (East) / Medical tech manufacturing,RecruitPedia Pte Ltd,"$6,000 – $8,000 per month",['East Region'],https://sg.jobstreet.com/job/80899573?type=standard&ref=search-standalone
Software Testing Intern,Razer Inc.,Not Available,['Singapore'],https://sg.jobstreet.com/job/80872786?type=standard&ref=search-standalone
Senior Software Engineer (.NET) - Up to $6600,PERSOLKELLY Singapore Pte Ltd (Formerly Kelly Services Singapore Pte Ltd),"$5,000 – $6,600 per month",['Central Region'],https://sg.jobstreet.com/job/80891745?type=standard&ref=search-standalone
